관리번호,위도,경도
보라매01-03,37.485174,126.90088
보라매01-04,37.485056,126.901247
보라매01-05,37.484931,126.901598
보라매01-06,37.484849,126.902023
보라매01-07,37.484768,126.902461
보라매01-08,37.48474,126.902915
보라매01-09,37.484708,126.903384
보라매01-10,37.484717,126.90382
보라매01-11,37.484685,126.904222
보라매01-12,37.484691,126.904606
보라매01-13,37.484671,126.905004
보라매01-14,37.48468,126.905418
보라매01-15,37.484835,126.905403
보라매01-16,37.484826,126.905017
보라매01-17,37.484842,126.904627
보라매01-18,37.484844,126.904244
보라매01-19,37.484864,126.903862
보라매01-20,37.484859,126.903438
보라매01-21,37.484885,126.902966
보라매01-22,37.48491,126.902539
보라매01-23,37.48499,126.902102
보라매01-24,37.485074,126.90167
보라매01-25,37.485185,126.901338
보라매01-26,37.485301,126.900981
보라매01-27,37.485454,126.900657
보라매02-01,37.484695,126.9058
보라매02-02,37.484723,126.906195
보라매02-03,37.484787,126.906518
보라매02-04,37.48486,126.906867
보라매02-05,37.484973,126.907237
보라매02-06,37.485048,126.90755
보라매02-07,37.485151,126.90788
보라매02-08,37.485224,126.908214
보라매02-09,37.485333,126.908534
보라매02-10,37.48542,126.908911
보라매02-11,37.485534,126.909284
보라매02-12,37.485626,126.909655
보라매02-13,37.48572,126.909952
보라매02-14,37.485793,126.910261
보라매02-15,37.485887,126.910556
보라매02-16,37.485973,126.910895
보라매02-17,37.486092,126.911191
보라매02-18,37.486189,126.911477
보라매02-19,37.486308,126.911734
보라매02-20,37.486412,126.911997
보라매02-21,37.486551,126.912218
보라매02-22,37.486668,126.912463
보라매02-23,37.486821,126.91268
보라매02-24,37.486969,126.912938
보라매02-25,37.487158,126.913214
보라매02-26,37.487302,126.913472
보라매02-27,37.487478,126.91372
보라매02-28,37.487634,126.914013
보라매02-29,37.487821,126.914262
보라매02-30,37.487989,126.914577
보라매02-31,37.488202,126.914886
보라매02-32,37.488406,126.915233
보라매02-33,37.488619,126.915533
보라매02-34,37.488819,126.915881
보라매02-35,37.489038,126.916159
보라매02-36,37.489257,126.916461
보라매02-37,37.489489,126.916711
보라매02-38,37.489687,126.917174
보라매02-39,37.489771,126.917717
보라매02-40,37.489683,126.916715
보라매02-41,37.4895,126.916414
보라매02-42,37.489263,126.916188
보라매02-43,37.489018,126.915867
보라매02-44,37.488806,126.91556
보라매02-45,37.488628,126.915264
보라매02-46,37.488431,126.914973
보라매02-47,37.488269,126.914697
보라매02-48,37.488079,126.91441
보라매02-49,37.48793,126.914154
보라매02-50,37.487738,126.913869
보라매02-51,37.487593,126.913619
보라매02-52,37.487431,126.913379
보라매02-53,37.487302,126.913153
보라매02-54,37.487158,126.912948
보라매02-55,37.487011,126.912684
보라매02-56,37.486875,126.912504
보라매02-57,37.48678,126.912313
보라매02-58,37.486642,126.912104
보라매02-59,37.486545,126.911881
보라매02-60,37.486426,126.911636
보라매02-61,37.486312,126.911379
보라매02-62,37.486201,126.911065
보라매02-63,37.486087,126.910753
보라매02-64,37.486,126.910417
보라매02-65,37.485903,126.910105
보라매02-66,37.485821,126.909763
보라매02-67,37.485724,126.909444
보라매02-68,37.48563,126.909064
보라매02-69,37.485514,126.90868
보라매02-70,37.485413,126.908289
보라매02-71,37.485304,126.907895
보라매02-72,37.485202,126.907519
보라매02-73,37.485098,126.907167
보라매02-74,37.485007,126.906807
보라매02-75,37.484913,126.906475
보라매02-76,37.484878,126.906128
보라매02-77,37.484829,126.90575
보라매03-04,37.489789,126.9165
보라매03-05,37.489614,126.916159
보라매03-06,37.489428,126.915851
보라매03-07,37.489249,126.91556
보라매03-08,37.489072,126.915268
보라매03-09,37.488893,126.914973
보라매03-10,37.488707,126.914663
보라매03-11,37.488536,126.914378
보라매03-12,37.488359,126.914097
보라매03-13,37.488187,126.913811
보라매03-14,37.488014,126.913532
보라매03-15,37.487853,126.913264
보라매03-16,37.487675,126.912958
보라매03-17,37.4875,126.912658
보라매03-18,37.487329,126.912331
보라매03-19,37.487171,126.912017
보라매03-20,37.487027,126.911711
보라매03-21,37.4869,126.911414
보라매03-22,37.486801,126.911179
보라매03-23,37.4867,126.910921
보라매03-24,37.486599,126.910634
보라매03-25,37.486493,126.910306
보라매03-26,37.486404,126.910016
보라매03-27,37.486307,126.909705
보라매03-28,37.486204,126.909374
보라매03-29,37.486095,126.909025
보라매03-30,37.485987,126.908672
보라매03-31,37.485879,126.908331
보라매03-32,37.485769,126.907974
보라매03-33,37.485656,126.90761
보라매03-34,37.485549,126.907261
보라매03-35,37.485444,126.906919
보라매03-36,37.48535,126.906606
보라매03-37,37.485298,126.906288
보라매03-38,37.485248,126.905991
보라매03-39,37.485188,126.905698
보라매03-40,37.484989,126.90573
보라매03-41,37.485049,126.906059
보라매03-42,37.485129,126.906346
보라매03-43,37.485218,126.90665
보라매03-44,37.485319,126.906979
보라매03-45,37.485424,126.907324
보라매03-46,37.485529,126.907666
보라매03-47,37.485643,126.908038
보라매03-48,37.485752,126.908397
보라매03-49,37.485863,126.908748
보라매03-50,37.48597,126.909089
보라매03-51,37.486077,126.909442
보라매03-52,37.486178,126.909772
보라매03-53,37.486276,126.910087
보라매03-54,37.486371,126.910387
보라매03-55,37.486484,126.910718
보라매03-56,37.486587,126.911017
보라매03-57,37.486691,126.911282
보라매03-58,37.486787,126.91151
보라매03-59,37.48692,126.911815
보라매03-60,37.487052,126.912097
보라매03-61,37.487215,126.912432
보라매03-62,37.487396,126.912769
보라매03-63,37.487569,126.91307
보라매03-64,37.487756,126.913379
보라매03-65,37.487924,126.913658
보라매03-66,37.488087,126.913926
보라매03-67,37.488248,126.914188
보라매03-68,37.488429,126.914487
보라매03-69,37.488596,126.914762
보라매03-70,37.48878,126.915067
보라매03-71,37.488967,126.915375
보라매03-72,37.489147,126.915682
보라매03-73,37.489334,126.91598
보라매03-74,37.489516,126.916286
보라매03-75,37.489674,126.916597
보라매04-01,37.485174,126.90545
보라매04-02,37.485177,126.904994
보라매04-03,37.485212,126.904543
보라매04-04,37.485259,126.903949
보라매04-05,37.485103,126.905431
보라매04-06,37.485105,126.905107
보라매04-07,37.485118,126.904754
보라매04-08,37.485144,126.904431
보라매04-09,37.48516,126.904135
보라매04-10,37.48518,126.903771
보라매04-11,37.485208,126.903382
보라매04-12,37.485228,126.903013
보라매04-13,37.485258,126.902668
보라매04-14,37.485311,126.902291
보라매04-15,37.485394,126.901897
보라매04-16,37.485478,126.901587
보라매04-17,37.48559,126.901271
보라매04-18,37.485701,126.900978
보라매04-19,37.485828,126.900697
보라매04-20,37.485708,126.900605
보라매04-21,37.485581,126.900894
보라매04-22,37.485461,126.901197
보라매04-23,37.485359,126.901524
보라매04-24,37.485268,126.901857
보라매04-25,37.485186,126.902264
보라매04-26,37.485125,126.902683
보라매04-27,37.485092,126.90308
보라매04-28,37.485063,126.90351
보라매04-29,37.485042,126.903885
보라매04-30,37.485022,126.904261
보라매04-31,37.485007,126.904595
보라매04-32,37.484978,126.905034
보라매04-33,37.48498,126.905405
